test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T130,ga1,knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,ga1 blocks GA biosynthesis,,,,ga1 KO blocks GA biosynthesis; GA1 (CPS) not a separate node -> encode as GA gm=0.1
T131,dellaQ,quadruple_knockout,,,,WT,Lateral_Root_Density,increased,,,,,,,DELLAs repress LR under low K; quadruple loss relieves repression,,,,della quadruple KO -> DELLA composite fully lost
T132,TOR + AZD8055,inhibitor_PBZ,,,,WT,Lateral_Root_Density,decreased,,,,,,,TOR acts as a metabolic gatekeeper for auxin-dependent lateral root initiation,,,,TOR kinase axis not in network
T133,BR_brassinolide,exogenous_treatment,,,,WT,Lateral_Root_Density,increased,,,,,,,BES1 brassinosteroid transcription factor,,,,BR brassinolide -> Brassinosteroid supply
T134,bri1,knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,BR signaling via BRI1 receptor,,,,bri1 KO
T135,PAX,knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,BRX and PAX coordinately act at rootward membrane of PPSE cells to inhibit PIN1-dependent auxin efflux,,,,PAX kinase not in network
T136,BRX,knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,BRX and PAX act as molecular rheostat to control timing of PPSE differentiation,,,,BRX membrane protein not in network
T137,mir393 OE,overexpression,,,,WT,Lateral_Root_Density,decreased,,,,,,,AFB3 is repressed by miR393 ; miR393 OE suppresses auxin signalling,,,,miR393 targets TIR1/AFB transcripts -> TIR1 KD
T138,Bending_48h,environmental,,,,WT,Lateral_Root_Density,increased,,,,,,,mechanical deformation leads to local increases of auxin activity stimulates LR initiation,,,,48-h root bending induces local auxin maxima via PIN3 repolarisation -> PIN gm=2.0 surrogate
T139,Drought,drought_stress,,,,WT,Lateral_Root_Density,decreased,,,,,,,LR organogenesis suppressed in airy microenvironments,,,,drought stress activates ABA biosynthesis -> ABA exogenous=1.0 surrogate
T140,Fe_patch,treatment,,,,WT,Lateral_Root_Density,increased,,,,,,,Localized iron supply promotes LR elongation via altering AUX1-mediated auxin distribution,,,,Fe-patch local response not modelled
T141,cle3,knockout,,,,WT,Lateral_Root_Density,increased,,,,,,,cle mutants showed outgrowth of lateral root primordia under N-deficient conditions,,,,"cle3 single KO under low N -> CLE composite single-paralog; low-N condition Low_Nitrate exogenous=1 [iter1 LR refinement: gm: {'CLE': 0.997} -> {CLE: 0.5}, exo: {Low_Nitrate: 1.0}] [iter2 LR refinement: gm: {'CLE': 0.5} -> {'CLE': 0.5}; exo: {'Low_Nitrate': 1.0} -> {}]"
T142,clv1,knockout,,,,WT,Lateral_Root_Density,increased,,,,,,,clv1 mutants showed progressive outgrowth of lateral root primordia into lateral roots under N-deficient conditions,,,,clv1 KO under low N
T143,CLE3,overexpression,,,,WT,Lateral_Root_Density,decreased,,,,,,,"emerged lateral roots at stage VIII was dramatically decreased by overexpression of CLE1, -2, -3, -4, and -7",,,,CLE3 OE -> CLE composite OE
T144,wox11 wox12,double_knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,rooting time of wox11-2 wox12-1 was more strongly delayed ... mutant explants produced fewer roots than did the wild-type,,,,wox11 wox12 double -> WOX12 maps to WOX11 paralog; double gm=0
T145,ein3 eil1,double_knockout,,,,WT,Lateral_Root_Density,increased,,,,,,,Mutations that block ethylene responses enhance root formation,,,,ein3 eil1 double are the main ethylene-response TFs downstream of EIN2; encoded as EIN2 gm=0 because EIN3/EIL1 are not separate nodes
T146,wei2,loss_of_function,,,,WT,Lateral_Root_Density,decreased,,,,,,,wei2-1 and wei7-4 mutants display root-specific ethylene insensitivity ... loss-of-function mutations in these genes prevent ethylene-mediated auxin increase,,,,wei2 (ASA1) under ACC; wei2 reduces Trp->IAA precursor pool. Encoded as TAA1 partial KD + ethylene supply
T147,bzr1-1D,gain_of_function,,,,WT,Lateral_Root_Density,increased,,,,,,,bzr1-1D increased LR number by 13-233% across N conditions,,,,bzr1-1D dominant gof -> BZR composite hyper-active; gm=2.0
T148,bes1-D,gain_of_function,,,,WT,Lateral_Root_Density,increased,,,,,,,bes1-D exhibited significantly higher LR density,,,,bes1-D (BZR2-D) dominant gof -> BZR composite hyper-active
T149,EBR_treatment,exogenous_treatment,,,,WT,Lateral_Root_Density,increased,,,,,,,EBR at 0.05 nM increased LR number by 28% and total LR length by 50% under mild N deficiency,,,,"EBR (epi-brassinolide) under mild N-deficiency -> BR + low-N dual supply [iter2 LR refinement: gm: {} -> {}; exo: {'Brassinosteroid': 1.0, 'Low_Nitrate': 1.0} -> {'Brassinosteroid': 1.0}]"
T150,arr1 arr10 arr12,triple_knockout,,,,WT,Lateral_Root_Density,increased,,,,,,,"arr1,10,12 triple mutant is significantly less sensitive to cytokinin ... showed almost complete insensitivity to cytokinin",,,,arr1 arr10 arr12 triple -> full type-B ARR composite KO
T151,arr10 arr12,double_knockout,,,,WT,Lateral_Root_Density,increased,,,,,,,ARR10 and ARR12 redundantly play an important role in the cytokinin signaling in roots,,,,arr10 arr12 double -> partial type-B ARR composite loss
T152,lbd16 lbd18 lbd29,triple_knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,LBD16 and other ASL proteins redundantly regulate the establishment of asymmetry in LR founder cells; triple mutants show strong LR reduction,,,,lbd16 lbd18 lbd29 triple -> all three main LR LBDs lost -> LBD composite gm=0
T153,tir1 afb1 afb2 afb3 afb4 afb5,quintuple_knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,higher-order TIR1/AFB mutants display near-complete auxin insensitivity and dramatically reduced lateral root formation,,,,tir1 afb1-5 sextuple -> complete TIR1/AFB loss
T154,pin2 pin3 pin7,triple_knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,"polar auxin transport mutants show altered branching patterns, with closely grouped, fused, or fewer LRP/LRs; triple pin mutants exacerbate the phenotype",,,,pin2 pin3 pin7 triple -> substantial PIN composite loss (~3 of ~8 PINs)
T155,abi5,knockout,,,,WT,Lateral_Root_Density,increased,,,,,,,inhibitory effect of nitrate on root growth was significantly reduced in abi4 and abi5 mutants,,,,"abi5 single KO under high-N; abi5 maps to ABI4_5 composite (gm=0.5 partial), Low_Nitrate gm=0 marks high-N"
T156,Low_Nitrate,environmental,,,,WT,Lateral_Root_Density,decreased,,,,,,,signaling module composed of N-responsive CLE peptides and CLV1 receptor plays a crucial role in regulating expansion of the root system under N-deficient conditions,,,,systemic low-N environment -> Low_Nitrate supply
T157,pid,knockout,,,,WT,Lateral_Root_Density,increased,,,,,,,analysis of lateral root stages revealed an increased number of first-stage primordia in PIN3 phosphorylation mutant variants,,,,PID kinase (PIN polarity regulator) not in network
T158,WT,control,,,,WT,Lateral_Root_Density,unchanged,,,,,,,Untreated wild-type Col-0 baseline used as reference for all perturbation comparisons.,,,,WT negative control: no perturbation; expected LR density = baseline.
